 1 puckman           "PuckMan (Japan set 1)"
 1 kickboy           "Kick Boy"
 1 friskyt           "Frisky Tom (set 1)"
 1 friskyta          "Frisky Tom (set 2)"
 1 radrad            "Radical Radial"
 1 seicross          "Seicross"
 1 sectrzon          "Sector Zone"
 1 firebatl          "Fire Battle"
 1 clshroad          "Clash-Road"
 1 clshroads         "Clash-Road (Status license)"
 1 clshroadd         "Clash-Road (Data East license)"
 1 tubep             "Tube Panic"
 1 tubepb            "Tube Panic (bootleg)"
 1 rjammer           "Roller Jammer"
 1 magmax            "Mag Max"
 2 cop01             "Cop 01 (set 1)"
 2 cop01a            "Cop 01 (set 2)"
 2 mightguy          "Mighty Guy"
 2 terracre          "Terra Cresta (YM3526 set 1)"
 2 terracreo         "Terra Cresta (YM3526 set 2)"
 2 terracrea         "Terra Cresta (YM3526 set 3)"
 2 terracren         "Terra Cresta (YM2203)"
 2 amazon            "Soldier Girl Amazon"
 2 amatelas          "Sei Senshi Amatelass"
 2 horekid           "Kid no Hore Hore Daisakusen"
 2 horekidb          "Kid no Hore Hore Daisakusen (bootleg)"
 2 boobhack          "Booby Kids (Italian manufactured graphic hack / bootleg of Kid no Hore Hore Daisakusen (bootleg))"
 2 galivan           "Galivan - Cosmo Police (12/16/1985)"
 2 galivan2          "Galivan - Cosmo Police (12/11/1985)"
 2 dangar            "Dangar - Ufo Robo (12/1/1986)"
 2 dangar2           "Dangar - Ufo Robo (9/26/1986)"
 2 dangarb           "Dangar - Ufo Robo (bootleg)"
 2 ninjemak          "Ninja Emaki (US)"
 2 youma             "Youma Ninpou Chou (Japan)"
 2 youma2            "Youma Ninpou Chou (Japan, alt)"
 2 youmab            "Youma Ninpou Chou (Game Electronics bootleg, set 1)"
 2 youmab2           "Youma Ninpou Chou (Game Electronics bootleg, set 2)"
 2 legion            "Chouji Meikyuu Legion (ver 2.03)"
 2 legiono           "Chouji Meikyuu Legion (ver 1.05)"
 2 terraf            "Terra Force (set 1)"
 2 terrafb           "Terra Force (bootleg with additional Z80)"
 2 terrafa           "Terra Force (set 2)"
 2 terrafu           "Terra Force (US)"
 2 kodure            "Kodure Ookami (Japan)"
 2 armedf            "Armed Formation"
 2 armedff           "Armed Formation (Fillmore license)"
 2 cclimbr2          "Crazy Climber 2 (Japan)"
 2 cclimbr2a         "Crazy Climber 2 (Japan, Harder)"
 2 skyrobo           "Sky Robo"
 2 bigfghtr          "Tatakae! Big Fighter (Japan)"
 2 hyhoo             "Taisen Quiz HYHOO (Japan)"
 2 hyhoo2            "Taisen Quiz HYHOO 2 (Japan)"
 2 jangou            "Jangou [BET] (Japan)"
 2 macha             "Monoshiri Quiz Osyaberi Macha (Japan)"
 2 jngolady          "Jangou Lady (Japan)"
 2 cntrygrl          "Country Girl (Japan set 1)"
 2 cntrygrla         "Country Girl (Japan set 2)"
 2 roylcrdn          "Royal Card (Nichibutsu)"
 2 fruitbun          "Fruits & Bunny (World?)"
 2 luckygrl          "Lucky Girl? (Wing)"
 2 nightgal          "Night Gal (Japan 840920 AG 1-00)"
 2 ngtbunny          "Night Bunny (Japan 840601 MRN 2-10)"
 2 royalngt          "Royal Night [BET] (Japan 840220 RN 2-00)"
 2 royalqn           "Royal Queen [BET] (Japan 841010 RQ 0-07)"
 2 sexygal           "Sexy Gal (Japan 850501 SXG 1-00)"
 2 sweetgal          "Sweet Gal (Japan 850510 SWG 1-02)"
 2 ngalsumr          "Night Gal Summer"
 2 pastelg           "Pastel Gal (Japan 851224)"
 2 3ds               "Three Ds - Three Dealers Casino House"
 2 galds             "Gals Ds - Three Dealers Casino House (bootleg?)"
 2 crystalg          "Crystal Gal (Japan 860512)"
 2 crystal2          "Crystal Gal 2 (Japan 860620)"
 2 nightlov          "Night Love (Japan 860705)"
 2 citylove          "City Love (Japan 860908)"
 2 mcitylov          "City Love [BET] (Japan 860904)"
 2 apparel           "Apparel Night (Japan 860929)"
 2 secolove          "Second Love (Japan 861201)"
 2 barline           "Barline (Japan?)"
 2 housemnq          "House Mannequin (Japan 870217)"
 2 housemn2          "House Mannequin Roppongi Live hen (Japan 870418)"
 2 livegal           "Live Gal (Japan 870530)"
 2 seiha             "Seiha (Japan 870725)"
 2 seiham            "Seiha [BET] (Japan 870723)"
 2 mjgaiden          "Mahjong Gaiden [BET] (Japan 870803)"
 2 bijokkoy          "Bijokko Yume Monogatari (Japan 870925)"
 2 iemoto            "Iemoto (Japan 871020)"
 2 iemotom           "Iemoto [BET] (Japan 871118)"
 2 ryuuha            "Ryuuha [BET] (Japan 871027)"
 2 ojousan           "Ojousan (Japan 871204)"
 2 ojousanm          "Ojousan [BET] (Japan 870108)"
 2 bijokkog          "Bijokko Gakuen (Japan 880116)"
 2 orangec           "Orange Club - Maruhi Kagai Jugyou (Japan 880213)"
 2 orangeci          "Orange Club - Maru-hi Ippatsu Kaihou [BET] (Japan 880221)"
 2 vipclub           "Vip Club - Maru-hi Ippatsu Kaihou [BET] (Japan 880310)"
 2 korinai           "Mahjong-zukino Korinai Menmen (Japan 880425)"
 2 korinaim          "Mahjong-zukino Korinai Menmen [BET] (Japan 880920)"
 2 kaguya            "Mahjong Kaguyahime [BET] (Japan 880521)"
 2 kaguya2           "Mahjong Kaguyahime Sono2 [BET] (Japan 890829)"
 2 kaguya2f          "Mahjong Kaguyahime Sono2 Fukkokuban [BET] (Japan 010808)"
 2 otonano           "Otona no Mahjong (Japan 880628)"
 2 kanatuen          "Kanatsuen no Onna [BET] (Japan 880905)"
 2 kyuhito           "Kyukyoku no Hito [BET] (Japan 880824)"
 2 mjsikaku          "Mahjong Shikaku (Japan 880908)"
 2 mjsikakb          "Mahjong Shikaku (Japan 880722)"
 2 mjsikakc          "Mahjong Shikaku (Japan 880806)"
 2 mjsikakd          "Mahjong Shikaku (Japan 880802)"
 2 mmsikaku          "Mahjong Shikaku [BET] (Japan 880929)"
 2 mjcamera          "Mahjong Camera Kozou (set 1) (Japan 881109)"
 2 mmcamera          "Mahjong Camera Kozou [BET] (Japan 890509)"
 2 msjiken           "Mahjong Satsujin Jiken (Japan 881017)"
 2 hanamomo          "Mahjong Hana no Momoko gumi (Japan 881201)"
 2 hanamomb          "Mahjong Hana no Momoko gumi (Japan 881125)"
 2 telmahjn          "Telephone Mahjong (Japan 890111)"
 2 taiwanmb          "Taiwan Mahjong [BET] (Japan 881208)"
 2 gionbana          "Gionbana (Japan 890120)"
 2 idhimitu          "Idol no Himitsu [BET] (Japan 890304)"
 2 mgion             "Gionbana [BET] (Japan 890207)"
 2 mjcamerb          "Mahjong Camera Kozou (set 2) (Japan 881109)"
 2 omotesnd          "Omotesandou (Japan 890215)"
 2 abunai            "Abunai Houkago - Mou Matenai (Japan 890325)"
 2 mjfocus           "Mahjong Focus (Japan 890313)"
 2 mjfocusm          "Mahjong Focus [BET] (Japan 890510)"
 2 peepshow          "Nozokimeguri Mahjong Peep Show (Japan 890404)"
 2 scandal           "Scandal Mahjong (Japan 890213)"
 2 scandalm          "Scandal Mahjong [BET] (Japan 890217)"
 2 mgmen89           "Mahjong G-MEN'89 (Japan 890425)"
 2 mjnanpas          "Mahjong Nanpa Story (Japan 890713)"
 2 mjnanpaa          "Mahjong Nanpa Story (Japan 890712)"
 2 mjnanpau          "Mahjong Nanpa Story (Ura) (Japan 890805)"
 2 pairsnb           "Pairs (Nichibutsu) (Japan 890822)"
 2 pairsten          "Pairs (System Ten) (Japan 890826)"
 2 bananadr          "Mahjong Banana Dream [BET] (Japan 891124)"
 2 mladyhtr          "Mahjong THE LADY HUNTER (Japan 900509)"
 2 chinmoku          "Mahjong Chinmoku no Hentai (Japan 900511)"
 2 maiko             "Maikobana (Japan 900802)"
 2 mmaiko            "Maikobana [BET] (Japan 900911)"
 2 hnageman          "AV Hanafuda Hana no Ageman (Japan 900716)"
 2 hnxmasev          "AV Hanafuda Hana no Christmas Eve (Japan 901204)"
 2 club90s           "Mahjong CLUB 90's (set 1) (Japan 900919)"
 2 club90sa          "Mahjong CLUB 90's (set 2) (Japan 900919)"
 2 lovehous          "Mahjong Love House [BET] (Japan 901024)"
 2 hanaoji           "Hana to Ojisan [BET] (Japan 911209)"
 2 pstadium          "Mahjong Panic Stadium (Japan)"
 2 triplew1          "Mahjong Triple Wars (Japan)"
 2 triplew2          "Mahjong Triple Wars 2 (Japan)"
 2 ntopstar          "Mahjong Nerae! Top Star (Japan)"
 2 mjlstory          "Mahjong Jikken Love Story (Japan)"
 2 vanilla           "Mahjong Vanilla Syndrome (Japan)"
 2 finalbny          "Mahjong Final Bunny [BET] (Japan)"
 2 qmhayaku          "Quiz-Mahjong Hayaku Yatteyo! (Japan)"
 2 mjgottub          "Medal Mahjong Gottsu ee-kanji [BET] (Japan)"
 2 galkoku           "Mahjong Gal no Kokuhaku (Japan)"
 2 hyouban           "Mahjong Hyouban Musume [BET] (Japan)"
 2 galkaika          "Mahjong Gal no Kaika (Japan)"
 2 tokyogal          "Tokyo Gal Zukan (Japan)"
 2 tokimbsj          "Tokimeki Bishoujo [BET] (Japan)"
 2 mcontest          "Miss Mahjong Contest (Japan)"
 2 uchuuai           "Mahjong Uchuu yori Ai wo komete (Japan)"
 2 av2mj1bb          "AV2Mahjong No.1 Bay Bridge no Seijo (Japan)"
 2 av2mj2rg          "AV2Mahjong No.2 Rouge no Kaori (Japan)"
 2 ohpaipee          "Oh! Paipee (Japan 890227)"
 2 togenkyo          "Tougenkyou (Japan 890418)"
 2 mjuraden          "Mahjong Uranai Densetsu (Japan)"
 2 koinomp           "Mahjong Koi no Magic Potion (Japan)"
 2 patimono          "Mahjong Pachinko Monogatari (Japan)"
 2 janbari           "Mahjong Janjan Baribari (Japan)"
 2 mjanbari          "Medal Mahjong Janjan Baribari [BET] (Japan)"
 2 ultramhm          "Ultra Maru-hi Mahjong (Japan)"
 2 gal10ren          "Mahjong Gal 10-renpatsu (Japan)"
 2 renaiclb          "Mahjong Ren-ai Club (Japan)"
 2 mjlaman           "Mahjong La Man (Japan)"
 2 mkeibaou          "Mahjong Keibaou (Japan)"
 2 pachiten          "Medal Mahjong Pachi-Slot Tengoku [BET] (Japan)"
 2 sailorws          "Mahjong Sailor Wars (Japan set 1)"
 2 sailorwa          "Mahjong Sailor Wars (Japan set 2)"
 2 sailorwr          "Mahjong Sailor Wars-R [BET] (Japan)"
 2 wcatcher          "Mahjong Wakuwaku Catcher (Japan)"
 2 jituroku          "Jitsuroku Maru-chi Mahjong (Japan)"
 2 yosimoto          "Mahjong Yoshimoto Gekijou (Japan)"
 2 psailor1          "Bishoujo Janshi Pretty Sailor 18-kin (Japan)"
 2 psailor2          "Bishoujo Janshi Pretty Sailor 2 (Japan)"
 2 otatidai          "Disco Mahjong Otachidai no Okite (Japan)"
 2 ngpgal            "Nekketsu Grand-Prix Gal (Japan)"
 2 mjgottsu          "Mahjong Gottsu ee-kanji (Japan)"
 2 bakuhatu          "Mahjong Bakuhatsu Junjouden (Japan)"
 2 cmehyou           "Mahjong Circuit no Mehyou (Japan)"
 2 mmehyou           "Medal Mahjong Circuit no Mehyou [BET] (Japan)"
 2 mjkoiura          "Mahjong Koi Uranai (Japan set 1)"
 2 mkoiuraa          "Mahjong Koi Uranai (Japan set 2)"
 2 imekura           "Imekura Mahjong (Japan)"
 2 mscoutm           "Mahjong Scout Man (Japan)"
 2 mjegolf           "Mahjong Erotica Golf (Japan)"
 2 mhhonban          "Mahjong Housoukyoku Honbanchuu (Japan)"
 2 4psimasy          "Mahjong 4P Simasyo (Japan)"
 2 musobana          "Musoubana (Japan)"
 2 niyanpai          "Niyanpai (Japan)"
 2 jyunai            "Jyunai - Manatsu no First Kiss (Japan)"
 2 csplayh5          "Mahjong Hanafuda Cosplay Tengoku 5 (Japan)"
 2 bikiniko          "BiKiNikko - Okinawa de Ippai Shityaimashita (Japan)"
 2 safarir           "Safari Rally (Japan)"
 2 phoenix           "Phoenix (Amstar)"
 2 phoenixa          "Phoenix (Centuri, set 1)"
 2 phoenixb          "Phoenix (Centuri, set 2)"
 2 phoenixt          "Phoenix (Taito)"
 2 phoenixj          "Phoenix (Taito Japan)"
 2 phoenix3          "Phoenix (T.P.N.)"
 2 phoenixc          "Phoenix (Irecsa / G.G.I Corp)"
 2 condor            "Condor (bootleg of Phoenix)"
 2 fenix             "Fenix (bootleg of Phoenix)"
